
('Time:Fri Oct  5 13:02:50 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:10:54 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:12:07 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:12:23 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:12:39 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:12:55 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:13:11 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:13:27 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:13:43 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:15:05 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:15:21 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:15:37 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:15:53 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:16:09 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:16:25 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:17:00 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:17:17 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:17:33 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:17:49 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:18:05 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:36:05 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:36:11 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:36:17 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:36:23 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:36:29 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Fri Oct  5 13:36:35 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
